性别,人数,成长环境均分,学生发展均分,亲子关系,师生关系,同伴关系,校园安全,身心健康,情绪状态,运动健康,学习创新机会,学习习惯,学业达标
男,4849,73.21496091462157,71.94889455557846,70.11626108475974,81.56836700350587,57.53941437409777,83.63580119612291,56.69210146421943,78.08053206846772,84.53357496391008,60.392761394101875,63.749398473912144,88.24499896885956
女,4475,72.94672359217878,72.94208139292365,70.19134078212291,82.4180662122905,55.21659351955307,83.9608938547486,57.92178770949721,74.90782122905028,85.99703240223464,62.41150837988827,64.34729953072625,92.06703910614524
