指标,平均分,风险暴露率(%)
亲子关系,67.17868988391376,35.72139303482587
师生关系,78.67192043117744,19.41404090657822
同伴关系,52.077840519624104,63.80320619126589
校园安全,77.68380320619127,25.45052515201769
身心健康,60.56246545052515,41.680486456605855
情绪状态,74.77888336097291,16.782752902155888
运动健康,86.0463891652847,9.541182974018794
学习创新机会,57.99933665008292,61.37092316196794
学习习惯,57.49585377556661,57.97678275290215
学业达标,90.23770038695412,9.762299613045881
