办学规模,人数,成长环境均分,学生发展均分
微规模,84,61.725119642857145,70.88534365079364
小规模,2275,69.4555313846154,71.27126668131868
中规模,3184,67.8356492776382,70.51766793865158
大规模,3502,69.68682415762422,71.74745648676947
