性别,人数,成长环境均分,学生发展均分,亲子关系,师生关系,同伴关系,校园安全,身心健康,情绪状态,运动健康,学习创新机会,学习习惯,学业达标
男,2203,68.80742889241944,70.78081161295204,67.96130276895143,78.5330629142079,53.09985283704041,75.63549704947799,59.560826146164324,76.66817975487972,84.98325011348162,57.48797094870631,57.786730776214256,88.197911938266
女,2067,69.33914031204645,72.12311040154813,69.15820029027576,79.85204271891631,50.407276149008226,77.93904208998549,60.20198355104016,73.19182389937107,87.96233671988391,60.12264150943396,58.08135713594581,93.17851959361393
