指标,平均分,风险暴露率(%)
亲子关系,68.54069086651054,33.25526932084309
师生关系,79.17154798594846,19.01639344262295
同伴关系,51.796443934426236,64.94145199063232
校园安全,76.75058548009368,27.259953161592502
身心健康,59.8711943793911,43.114754098360656
情绪状态,74.98536299765809,16.557377049180328
运动健康,86.4253512880562,9.110070257611241
学习创新机会,58.76334894613583,59.88290398126463
学习习惯,57.92935201405152,57.14285714285714
学业达标,90.60889929742389,9.391100702576113
