指标,平均分,风险暴露率(%)
亲子关系,68.53402988559421,33.29441979920617
师生关系,79.16472327807611,19.02871818818585
同伴关系,51.79644207331311,64.95447116507121
校园安全,76.780294186318,27.177212234415133
身心健康,59.87333644641606,43.14732664020546
情绪状态,74.9387111837497,16.600513658650478
运动健康,86.42375204296054,9.105766985757647
学习创新机会,58.779068409992995,59.91127714219006
学习习惯,57.90917578799907,57.10950268503385
学业达标,90.61405556852674,9.385944431473266
