性别,人数,成长环境均分,学生发展均分,亲子关系,师生关系,同伴关系,校园安全,身心健康,情绪状态,运动健康,学习创新机会,学习习惯,学业达标
男,2208,68.8238586843297,70.78180539704107,67.95742753623189,78.56280384963767,53.11850045289855,75.65670289855072,59.578804347826086,76.65307971014492,84.96442028985507,57.48947010869565,57.78042024456522,88.22463768115942
女,2075,69.32959051807228,72.1053270682731,69.14759036144578,79.80522356626507,50.389644530120485,77.97590361445783,60.18674698795181,73.1144578313253,87.976621686747,60.15132530120482,58.04618409638554,93.1566265060241
