指标,平均分,风险暴露率(%)
亲子关系,70.15229515229515,30.501930501930502
师生关系,81.97617523595024,14.114114114114114
同伴关系,56.42458990776491,51.95195195195195
校园安全,83.79182754182754,16.323466323466324
身心健康,57.28228228228228,46.75032175032175
情绪状态,76.5578078078078,15.851565851565852
运动健康,85.23595291720294,9.931359931359932
学习创新机会,61.361647361647364,54.043329043329045
学习习惯,64.03635763620764,44.047619047619044
学业达标,90.07936507936508,9.920634920634921
