办学规模,人数,成长环境均分,学生发展均分
微规模,450,70.63964222222222,72.70763333333333
小规模,1645,72.81657065349545,71.61287944275583
中规模,4352,72.48921942784926,71.70936911381739
大规模,2877,74.52615671706639,73.92951264048199
